rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
176,600312.SH,平高电气,20.01,277.2,21.8,0.66,25.1,0.81,11.2,24.0,1.22,0.025,True
177,601567.SH,三星电气,14.68,209.2,22.0,2.67,42.9,0.32,13.6,29.2,9.1,0.025,True
178,300888.SZ,稳健医疗,29.9,175.6,22.2,1.57,22.8,0.99,7.8,47.8,10.52,0.025,True
179,002487.SZ,大金重工,35.41,261.0,22.5,0.24,38.4,0.35,9.9,33.4,6.76,0.025,True
180,600572.SH,康恩贝,4.51,112.7,22.6,3.2,35.8,0.67,8.8,53.9,9.17,0.025,True
181,603296.SH,华勤技术,78.49,1170.0,22.7,1.37,44.6,0.65,16.8,8.0,1.49,0.025,False
182,688278.SH,特宝生物,59.05,244.9,22.7,0.61,16.8,0.96,31.4,91.1,2.68,0.025,True
183,002832.SZ,比音勒芬,24.03,137.8,22.8,2.06,32.7,0.69,12.0,75.1,5.71,0.025,True
184,600141.SH,兴发集团,31.15,365.3,22.8,3.25,29.7,0.7,7.4,18.1,2.27,0.025,False
185,603236.SH,XD移远通,56.62,221.9,22.9,0.59,45.1,0.5,15.2,18.0,188.41,0.025,False
186,002595.SZ,豪迈科技,47.48,547.8,22.9,1.2,22.8,0.84,19.7,33.6,1.7,0.025,True
187,002683.SZ,广东宏大,29.79,224.2,23.0,1.25,25.0,0.83,15.4,20.9,7.39,0.025,False
188,600160.SH,巨化股份,39.54,1030.0,23.5,0.96,54.3,0.49,23.1,29.6,6.41,0.025,True
189,300693.SZ,盛弘股份,40.83,130.2,23.9,0.87,28.6,0.76,23.3,39.3,5.73,0.025,True
190,300130.SZ,新国都,19.88,111.8,24.1,1.39,21.2,0.72,11.8,32.8,3.59,0.025,True
191,600063.SH,皖维高新,5.84,118.8,24.2,1.42,48.6,0.48,7.2,12.7,5.01,0.025,False
192,600988.SH,赤峰黄金,48.22,890.3,24.8,0.45,51.4,0.48,26.0,40.6,7.04,0.025,True
193,002475.SZ,立讯精密,57.18,4419.1,24.8,0.43,38.2,0.53,21.1,12.0,4.09,0.025,False
194,002258.SZ,利尔化学,14.16,112.6,25.6,2.06,36.6,0.55,7.7,17.0,9.36,0.025,False
195,002158.SZ,汉钟精机,27.85,137.4,27.9,2.56,29.6,0.85,12.3,33.5,5.45,0.025,True
196,001696.SZ,宗申动力,15.22,171.2,28.0,2.63,30.4,0.58,13.9,13.6,6.9,0.025,False
197,600395.SH,盘江股份,5.67,119.8,30.1,4.08,55.4,0.65,4.6,28.8,11.76,0.025,True
198,601231.SH,环旭电子,27.55,637.8,31.3,2.1,31.6,0.65,10.2,9.5,3.3,0.025,False
199,000725.SZ,京东方Ａ,5.94,2118.9,35.6,2.21,42.1,0.63,5.8,15.6,21.28,0.025,False
200,603730.SH,岱美股份,10.87,229.7,36.0,3.41,45.5,0.79,16.6,26.0,5.71,0.025,True
201,000937.SZ,冀中能源,5.14,192.0,47.4,8.75,36.3,0.75,4.2,26.1,10.82,0.025,True
202,002601.SZ,龙佰集团,16.25,387.0,51.9,2.25,26.8,0.6,6.5,18.8,11.47,0.025,False
203,002938.SZ,鹏鼎控股,89.2,2023.2,53.4,2.31,40.5,0.81,13.7,23.6,3.06,0.025,True
204,002597.SZ,金禾实业,20.31,113.6,56.5,2.02,51.8,0.53,6.3,14.3,5.58,0.025,False
205,002304.SZ,洋河股份,38.88,601.2,59.2,3.23,29.2,0.98,5.7,70.8,753.97,0.025,True
206,001203.SZ,大中矿业,27.58,419.3,64.3,2.02,59.0,0.39,14.3,46.2,3.14,0.025,True
207,603920.SH,世运电路,38.83,268.2,69.9,2.41,14.0,0.85,11.1,16.7,2.78,0.025,False
208,002913.SZ,奥士康,59.01,180.2,84.6,2.08,52.6,0.78,9.6,20.2,1.7,0.025,False
209,301362.SZ,民爆光电,118.39,164.2,123.7,3.63,34.2,0.82,9.4,27.5,1.21,0.025,True
210,300951.SZ,博硕科技,75.27,115.6,788.2,2.25,29.2,0.72,7.8,29.7,1.5,0.025,True
